id,signal_id,chain,token_address,token_symbol,signal_type,strength,signal_price,signal_time,entry_price,entry_time,size_usd,exit_price,exit_time,exit_reason,pnl_usd,pnl_pct,peak_price,hard_stop_pct,whale_count,whale_tiers,safety_score,momentum_score,composite_score,price_change_5m,price_change_1h,price_change_6h,buys_5m,sells_5m,buys_h1,sells_h1,buy_sell_ratio_5m,buy_sell_ratio_h1,volume_5m,volume_h1,volume_h6,liquidity_usd,mcap_usd,fdv,age_minutes,dex_id,dexscreener_url,has_twitter,has_telegram,has_website,rugcheck_score,buy_tax,sell_tax,notes,config_tag,tp_levels_hit,realized_partial_usd,remaining_fraction,sol_received,accounting_epoch,signal_dex_price,baseline_curve_price,fill_price_field,entry_source
L5df3ea6,cc8cea4d,solana,6nu5jTpDsscXscpJhxMZz44YowmA2GJasNhzKx5pump,BLOMA,social_alert,medium,,,2.543842343886025e-05,2026-06-04 12:14:35,5,2.29373287174788e-05,2026-06-04 12:14:47,hard_stop,-0.4916,-9.83,1.366e-05,,0,,0.5,0.8,0.71,-1.26,584.0,584.0,226,135,501,361,0.626,0.581,14163.47,32492.69,32492.69,0.0,13668.57,13668.57,11.0,pumpfun,https://dexscreener.com/solana/dxecm4hyu2vd2lqeaifjvte7njoz6gruzqi1qss9rmyx,False,False,False,0.0,0.0,0.0,live|tx:2wCvXFMB2MRn|sell_tx:4Lv2Pa9F9wbW,v4_2026-05-13,,,,,,,,,
L9348261,095717d4,solana,krFpw2YaxjEscyKzs1HqohKq9ArGKMahgt93uoapump,SigeonPex,social_alert,strong,,,1.770593387361623e-05,2026-06-04 12:09:29,5,5.862e-05,2026-06-04 13:00:32,manual,11.5538,231.08,7.212e-05,,0,,0.4,0.8,0.68,319.0,319.0,319.0,224,162,224,162,0.58,0.58,15314.26,15314.26,15314.26,0.0,15735.97,15735.97,4.4,pumpfun,https://dexscreener.com/solana/e3z6imbez6jhwsc58a4jpxyr5h2tm8ftjcihwk5r6maz,False,False,False,0.0,0.0,0.0,live|tx:3PKM5HRaQdFK|sell_failed,v4_2026-05-13,,,,,,,,,
Ldd92892,ca8e3dbc,solana,3QUuz9hf5zdCRwzuCjC1Qscg8NSCxKLksqAJmgqfpump,1-800-TRENCH,social_alert,strong,,,2.174172295955461e-05,2026-06-04 13:03:23,5,7.661566052309346e-06,2026-06-04 13:03:29,hard_stop,-3.238,-64.76,1.316e-05,,0,,0.4,0.8,0.68,394.0,394.0,394.0,396,344,396,344,0.535,0.535,33140.88,33140.88,33140.88,0.0,13162.22,13162.22,2.1,pumpfun,https://dexscreener.com/solana/ebzud14hcyvvqrhbz9rzbmpwn22d3bs83fxdxgvoxfur,False,False,False,0.0,0.0,0.0,live|tx:WnX54Ew8ocnV|sell_tx:3SFbVyF8H32C,v4_2026-05-13,,,,,,,,,
L1d22463,8596e705,solana,A6TGiKNJnXDu6oVzCJgDfadAGNXzWbJCxqNytCfHpump,ALEXANDER,social_alert,medium,,,2.1878071832023968e-05,2026-06-04 14:13:28,5,1.2632719381907031e-05,2026-06-04 14:35:19,hard_stop,-2.1129,-42.26,5.166e-05,,0,,0.5,0.8,0.71,58.92,467.0,467.0,173,109,984,660,0.613,0.599,7797.11,53381.16,53381.16,0.0,15187.88,15187.88,13.3,pumpfun,https://dexscreener.com/solana/cbbtwacy9tax2j9y4lhb2969wrah6hxs8mqdetofm8am,False,False,False,0.0,0.0,0.0,live|tx:4oH56VdgejGu|sell_tx:2DaEDzZXkrRH,v4_2026-05-13,,,,,,,,,
Lf223bea,315ac5e0,solana,9iyPoJg1qBSvezR9ScjF7H4aAYeAbprPRX55RT3wPnAy,BULLPOST,social_alert,strong,,,1.7313201619193548e-05,2026-06-04 14:57:24,5,9.585e-06,2026-06-04 14:57:45,hard_stop,-2.2319,-44.64,9.585e-06,,0,,0.5,0.8,0.71,54.32,295.0,295.0,123,100,411,343,0.552,0.545,10506.68,32760.71,32760.71,0.0,9585.13,9585.13,8.2,pumpfun,https://dexscreener.com/solana/dg6tgk7fh9iwfmpajhqw2wjiguse352uncxwwvj5xzfg,False,False,False,0.0,0.0,0.0,live|tx:3iN9RT6HSwLp|sell_failed,v4_2026-05-13,,,,,,,,,
Lce60104,ba25c12e,solana,2Wkip2U5x93mjaAvoq8zaedweP73GgRtbaQhNcwXpump,APE,social_alert,strong,,,2.2717160370478612e-05,2026-06-04 15:54:56,5,1.2525090785858035e-05,2026-06-04 15:56:18,hard_stop,-2.2433,-44.87,1.999e-05,,0,,0.5,0.8,0.71,777.0,777.0,777.0,212,127,212,127,0.625,0.625,13404.24,13404.24,13404.24,0.0,17491.62,17491.62,3.6,pumpfun,https://dexscreener.com/solana/8zey7zbm6wfgv3nhrlssicusbqzypw473anxjybdgch7,False,False,False,0.0,0.0,0.0,live|tx:3yeUKtdRjobL|sell_tx:2CFNwdi8CmeN,v4_2026-05-13,,,,,,,,,
Lf1f845b,ba25475e,solana,8PzgGuxrZSUPooX57Tqy9VMrK721hDsgdiFMernbpump,sidequest,social_alert,strong,,,2.183030081661821e-05,2026-06-04 16:34:24,5,9.281e-06,2026-06-04 16:34:31,hard_stop,-2.8743,-57.49,9.281e-06,,0,,0.4,0.8,0.68,380.0,380.0,380.0,111,90,111,90,0.552,0.552,8947.74,8947.74,8947.74,0.0,9281.85,9281.85,1.3,pumpfun,https://dexscreener.com/solana/6z24cu2wrcnanxqefjbg2lcfcoi5hohftgpw5aa3wcxi,False,False,False,0.0,0.0,0.0,live|tx:2YZkVJyDFf38|sell_failed,v4_2026-05-13,,,,,,,,,
L8a7946c,4e7a3c56,solana,EXQ4AtTJcEWrSvEb2StXveZJM9F74VELT8AAcm6Jpump,Dare2,social_alert,strong,,,1.9695981231501935e-05,2026-06-04 16:35:44,5,1.313967129301059e-05,2026-06-04 16:35:53,hard_stop,-1.6644,-33.29,1.591e-05,,0,,0.4,0.8,0.68,663.0,663.0,663.0,149,110,149,110,0.575,0.575,13707.13,13707.13,13707.13,0.0,15913.22,15913.22,3.0,pumpfun,https://dexscreener.com/solana/clrr1zf3rh82up2d1dnywmjx7f1ephnalrhkqch1cuf3,False,False,False,0.0,0.0,0.0,live|tx:5XY9LK17BPpv|sell_tx:2xqW2XY33eXt,v4_2026-05-13,,,,,,,,,
L66caca3,0d6deb3a,solana,F1eq1Tm9M2mK9fo92DZRbXex856mJX192s1sM9jJpump,DARE,social_alert,strong,,,2.3368114345274647e-05,2026-06-04 16:16:36,5,9.17802196978239e-05,2026-06-04 16:37:39,trailing_stop,14.6379,292.76,0.0001419,,0,,0.4,0.8,0.68,503.0,503.0,503.0,252,256,252,256,0.496,0.496,23229.82,23229.82,23229.82,0.0,20785.09,20785.09,1.2,pumpfun,https://dexscreener.com/solana/b551axa9lrbzxsceixju58mpb5tpdcccbcmq3pddmsxp,False,False,False,0.0,0.0,0.0,live|tx:3J3HKNnDxgXc|sell_tx:DBxhVawt1YmU,v4_2026-05-13,,,,,,,,,
Lef2d9f0,925ad13b,solana,BCyoEpQQUtC2e4HzGrPoXp1GPDTroXVHkbzrsnaLpump,CROW,social_alert,medium,,,2.459539577188482e-05,2026-06-04 16:02:03,5,1.7886149759916055e-05,2026-06-04 16:37:54,hard_stop,-1.3639,-27.28,5.233e-05,,0,,0.5,0.8,0.71,141.0,887.0,887.0,201,185,375,313,0.521,0.545,17264.16,26655.37,26655.37,0.0,20548.72,20548.72,17.6,pumpfun,https://dexscreener.com/solana/5qtqvplkvwcagtbgymjwfnzccpt443u1vhrwbddljedh,False,False,False,0.0,0.0,0.0,live|tx:9hTMYAbK2nBg|sell_tx:5avgj2aeTYxU,v4_2026-05-13,,,,,,,,,
