trace_id,pos_id,pair_id,mint,symbol,live_or_paper,started_at,finished_at,duration_sec,n_events,first_event,last_event
tr_pending_1783560443,pending,tg_BbbAY4xmo6wcY1LA_1783560443,BbbAY4xmo6wcY1LAN833nQVxJEhevhosrfnX8Bfej6wg,BbbAY4xm,unknown,2026-07-09T01:27:23.261145+00:00,2026-07-09T01:27:23.926002+00:00,0.66,13,trace_started,trace_finished
tr_pending_1783560443,pending,tg_EgLu45VULr1Uoktf_1783560443,EgLu45VULr1UoktfTmkCkJDMfuq6QpdYqUcyjr265g5a,EgLu45VU,unknown,2026-07-09T01:27:23.932614+00:00,2026-07-09T01:27:23.955134+00:00,0.02,6,trace_started,trace_finished
tr_pending_1783560443,pending,tg_86AEJExyjeNNgcp7_1783560443,86AEJExyjeNNgcp7GrAvCXTDicf5aGWgoERbXFiG1EdD,86AEJExy,unknown,2026-07-09T01:27:23.956870+00:00,2026-07-09T01:27:24.121722+00:00,0.16,9,trace_started,trace_finished
tr_pending_1783560443,pending,tg_86AEJExyjeNNgcp7_1783560443,86AEJExyjeNNgcp7GrAvCXTDicf5aGWgoERbXFiG1EdD,86AEJExy,unknown,2026-07-09T01:27:23.956870+00:00,2026-07-09T01:27:24.122406+00:00,0.17,10,trace_started,trace_finished
tr_pending_1783560444,pending,tg_6thkBEiYSsZs3AEb_1783560444,6thkBEiYSsZs3AEbmUycSngZZ9QwBG4xgGTEtAoUB1bz,6thkBEiY,unknown,2026-07-09T01:27:24.144799+00:00,2026-07-09T01:27:24.318287+00:00,0.17,6,trace_started,trace_finished
tr_pending_1783560444,pending,tg_EpESgroDgXL496Qw_1783560444,EpESgroDgXL496QwKUPTgdKdD7MkhYMAV27prZE2Qs5T,EpESgroD,unknown,2026-07-09T01:27:24.321819+00:00,2026-07-09T01:27:24.326232+00:00,0.0,5,token_resolved,trace_finished
tr_pending_1783560488,pending,tg_DaGqwQM3rrnwgyU7_1783560488,DaGqwQM3rrnwgyU7vEVu9SsTaKCc8i1coguyBtWsmEDd,DaGqwQM3,unknown,2026-07-09T01:28:08.960226+00:00,2026-07-09T01:28:09.097099+00:00,0.14,6,trace_started,trace_finished
tr_pending_1783560489,pending,tg_EgLu45VULr1Uoktf_1783560489,EgLu45VULr1UoktfTmkCkJDMfuq6QpdYqUcyjr265g5a,EgLu45VU,unknown,2026-07-09T01:28:09.145019+00:00,2026-07-09T01:28:09.297288+00:00,0.15,6,trace_started,trace_finished
tr_pending_1783560489,pending,tg_6thkBEiYSsZs3AEb_1783560489,6thkBEiYSsZs3AEbmUycSngZZ9QwBG4xgGTEtAoUB1bz,6thkBEiY,unknown,2026-07-09T01:28:09.331687+00:00,2026-07-09T01:28:09.342650+00:00,0.01,6,trace_started,trace_finished
tr_pending_1783560489,pending,tg_Cv5GgkpXvtXcsrMc_1783560489,Cv5GgkpXvtXcsrMcKCJvx46BpMjiM61mpPU1j8RbbbVL,Cv5GgkpX,unknown,2026-07-09T01:28:09.345230+00:00,2026-07-09T01:28:09.445171+00:00,0.1,6,trace_started,trace_finished
tr_pending_1783560489,pending,tg_EpESgroDgXL496Qw_1783560489,EpESgroDgXL496QwKUPTgdKdD7MkhYMAV27prZE2Qs5T,EpESgroD,unknown,2026-07-09T01:28:09.537125+00:00,2026-07-09T01:28:09.728420+00:00,0.19,6,trace_started,trace_finished
tr_pending_1783560534,pending,tg_3jdpnZekcUM9qbSU_1783560534,3jdpnZekcUM9qbSUQdRJJTPYH5pktLXFAox68aMZPrsX,3jdpnZek,unknown,2026-07-09T01:28:54.104635+00:00,2026-07-09T01:28:54.159864+00:00,0.06,6,trace_started,trace_finished
